,PSNR
0,tensor(7.7018)
1,tensor(7.0702)
2,tensor(7.1816)
3,tensor(6.5438)
4,tensor(6.0869)
5,tensor(7.8792)
6,tensor(6.8010)
7,tensor(7.8638)
8,tensor(7.0105)
9,tensor(7.7864)
10,tensor(7.1832)
11,tensor(8.4184)
12,tensor(7.9524)
13,tensor(6.8621)
14,tensor(7.7563)
15,tensor(9.1394)
16,tensor(7.7556)
17,tensor(7.2838)
18,tensor(8.0759)
19,tensor(8.0939)
20,tensor(6.0733)
21,tensor(4.7682)
22,tensor(4.4397)
23,tensor(4.2795)
24,tensor(3.3746)
25,tensor(3.4361)
26,tensor(2.8967)
27,tensor(2.3404)
28,tensor(2.3614)
29,tensor(2.9505)
30,tensor(3.3990)
31,tensor(3.5177)
32,tensor(3.4819)
33,tensor(3.2969)
34,tensor(2.8618)
35,tensor(3.1308)
36,tensor(4.0658)
37,tensor(3.5546)
38,tensor(5.2484)
39,tensor(5.2162)
40,tensor(4.8862)
41,tensor(4.8457)
42,tensor(5.1247)
43,tensor(5.2825)
44,tensor(3.6579)
45,tensor(4.5972)
46,tensor(3.8267)
47,tensor(3.4839)
48,tensor(4.1659)
49,tensor(4.6705)
50,tensor(5.2399)
51,tensor(4.8699)
52,tensor(4.5678)
53,tensor(4.8685)
54,tensor(3.7208)
55,tensor(3.4202)
56,tensor(4.4546)
57,tensor(5.4049)
58,tensor(5.1159)
59,tensor(4.9956)
60,tensor(5.5326)
61,tensor(6.1051)
62,tensor(5.8189)
63,tensor(5.5164)
64,tensor(5.0264)
65,tensor(4.8151)
66,tensor(5.6361)
67,tensor(6.2905)
68,tensor(4.5640)
69,tensor(5.2365)
70,tensor(4.3532)
71,tensor(4.5198)
72,tensor(5.1740)
73,tensor(4.2225)
74,tensor(4.7980)
75,tensor(4.4721)
76,tensor(4.6951)
77,tensor(5.2080)
78,tensor(4.8377)
79,tensor(4.7388)
80,tensor(5.2829)
81,tensor(7.1458)
82,tensor(4.8463)
83,tensor(6.5434)
84,tensor(7.3898)
85,tensor(6.0385)
86,tensor(7.1891)
87,tensor(7.5769)
88,tensor(6.4518)
89,tensor(6.6337)
